country_code,country_name,country_longitude,country_latitude
FRA,France,2.213749,46.227638
FXX,"France, Metropolitan",2.0,46.0
GUF,French Guiana,-53.125782,3.933889
PYF,French Polynesia,-149.406843,-17.679742
ATF,French Southern Territories,70.024982,-49.4499605
GAB,Gabon,11.609444,-0.803689
GMB,Gambia,-15.310139,13.443182
GEO,Georgia,-82.907123,32.1574351
DEU,Germany,10.451526,51.165691
GHA,Ghana,-1.023194,7.946527
GIB,Gibraltar,-5.345374,36.137741
GRC,Greece,21.824312,39.074208
GRL,Greenland,-42.604303,71.706936
GrD,Grenada,-61.604171,12.262776
GlP,Guadeloupe,-62.067641,16.995971
GUM,Guam,144.793731,13.444304
GTM,Guatemala,-90.230759,15.783471
GiN,Guinea,-9.696645,9.945587
GNB,Guinea-Bissau,-15.180413,11.803749
GUY,Guyana,-58.93018,4.860416
HTI,Haiti,-72.285215,18.971187
HMD,Heard and McDonald Islands,73.5,-53.1
HND,Honduras,-86.241905,15.199999
000,Holy See,-95.8116677,30.0337427
HKG,Hong Kong,114.109497,22.396428
HUN,Hungary,19.503304,47.162494
ISL,Iceland,-19.020835,64.963051
IND,India,78.96288,20.593684
IDN,Indonesia,113.921327,-0.789275
IRN,Iran,53.688046,32.427908
IRQ,Iraq,43.679291,33.223191
IRL,Ireland,-8.24389,53.41291
ISR,Israel,34.851612,31.046051
ITA,Italy,12.56738,41.87194
JM,Jamaica,-77.297508,18.109581
JPN,Japan,138.252924,36.204824
JOR,Jordan,36.238414,30.585164
KAZ,Kazakhstan,66.923684,48.019573
KEN,Kenya,37.906193,-0.023559
KIR,Kiribati,-168.734039,-3.370417
KOR,"Korea, North",127.766922,35.907757
PRK,"Korea, South",127.766922,35.907757
KWT,Kuwait,47.481766,29.31166
KGZ,Kyrgyzstan,74.766098,41.20438
LAO,Laos,102.495496,19.85627
LVA,Latvia,24.603189,56.879635
LBN,Lebanon,35.862285,33.854721
LSO,Lesotho,28.233608,-29.609988
LBR,Liberia,-9.429499,6.428055
LBY,Libya,17.228331,26.3351
LIE,Liechtenstein,9.555373,47.166
LTU,Lithuania,23.881275,55.169438
LUX,Luxembourg,6.129583,49.815273
MAC,Macau,113.543873,22.198745
MKD,Macedonia,21.745275,41.608635
MDG,Madagascar,46.869107,-18.766947
MWI,Malawi,34.301525,-13.254308
MYS,Malaysia,101.975766,4.210484
MDV,Maldives,73.22068,3.202778
MLI,Mali,-3.996166,17.570692
MLT,Malta,14.375416,35.937496
MHL,Marshall Islands,171.184478,7.131474
MTQ,Martinique,-61.024174,14.641528
MRT,Mauritania,-10.940835,21.00789
MUS,Mauritius,57.552152,-20.348404
MYT,Mayotte,45.166244,-12.8275
MEX,Mexico,-102.552784,23.634501
FSM,Micronesia,150.550812,7.425554
MDA,Moldova,28.369885,47.411631
MCO,Monaco,7.412841,43.750298
MNF,Mongolia,103.846656,46.862496
MSR,Montserrat,-62.187366,16.742498
MAR,Morocco,-7.09262,31.791702
MOZ,Mozambique,35.529562,-18.665695
MMR,Myanmar,95.956223,21.913965
NAM,Namibia,18.49041,-22.95764
NRU,Nauru,166.931503,-0.522778
NPL,Nepal,84.124008,28.394857
NLD,Netherlands,5.291266,52.132633
ANT,Netherlands Antilles,-69.060087,12.226079
NCL,New Caledonia,165.618042,-20.904305
NZL,New Zealand,174.885971,-40.900557
NIC,Nicaragua,-85.207229,12.865416
NER,Niger,8.081666,17.607789
NGA,Nigeria,8.675277,9.081999
NIU,Niue,-169.867233,-19.054445
NFK,Norfolk Island,167.954712,-29.040835
MNP,Northern Mariana Islands,145.38469,17.33083
NOR,Norway,8.468946,60.472024
OMN,Oman,55.923255,21.512583
PAK,Pakistan,69.345116,30.375321
PLW,Palau,134.58252,7.51498
PAN,Panama,-80.782127,8.537981
PNG,Papau New Guinea,143.95555,-6.314993
PRY,Paraguay,-58.443832,-23.442503
PER,Peru,-75.015152,-9.189967
PHL,Philippines,121.774017,12.879721
PCN,Pitcairn,-127.439308,-24.703615
POL,Poland,19.145136,51.919438
PRT,Portugal,-8.224454,39.399872
PRI,Puerto Rico,-66.590149,18.220833
QAT,Qatar,51.183884,25.354826
REU,Reunion,55.536384,-21.115141
ROM,Romania,24.96676,45.943161
RUS,Russia,105.318756,61.52401
RWA,Rwanda,29.873888,-1.940278
KNA,Saint Kitts and Nevis,-62.782998,17.357822
LCA,Saint Lucia,-60.978893,13.909444
VCT,Saint Vincent and the Grenadines,-61.287228,12.984305
WSM,Samoa,-172.104629,-13.759029
SMR,San Marino,12.457777,43.94236
STP,Sao Tome and Principe,6.613081,0.18636
SAU,Saudi Arabia,45.079162,23.885942
SEN,Senegal,-14.452362,14.497401
SYC,Seychelles,55.491977,-4.679574
SLE,Sierra Leone,-11.779889,8.460555
SGP,Singapore,103.819836,1.352083
SVK,Slovakia,19.699024,48.669026
SVN,Slovenia,14.995463,46.151241
SLB,Solomon Islands,160.156194,-9.64571
SOM,Somalia,46.199616,5.152149
ZAF,South Africa,22.937506,-30.559482
SGS,South Georgia and the South Sandwich Islands,-36.587909,-54.429579
ESP,Spain,-3.74922,40.463667
LKA,Sri Lanka,80.771797,7.873054
SHN,St. Helena,-10.030696,-24.143474
SPM,St. Pierre and Miquelon,-56.27111,46.941936
SDN,Sudan,30.217636,12.862807
SUR,Suriname,-56.027783,3.919305
SJM,Jan Mayen Islands,-8.5,70.9833333
SWZ,Swaziland,31.465866,-26.522503
SWE,Sweden,18.643501,60.128161
CHE,Switzerland,8.227512,46.818188
SYR,Syria,38.996815,34.802075
TWN,Taiwan,120.960515,23.69781
TJK,Tajikistan,71.276093,38.861034
TZA,Tanzania,34.888822,-6.369028
THA,Thailand,100.992541,15.870032
TGO,Togo,0.824782,8.619543
TKL,Tokelau,-171.855881,-8.967363
TON,Tonga,-175.198242,-21.178986
TTO,Trinidad and Tobago,-61.222503,10.691803
TUN,Tunisia,9.537499,33.886917
TUR,Turkey,35.243322,38.963745
TKM,Turkmenistan,59.556278,38.969719
TCA,Turks and Caicos Islands,-71.797928,21.694025
TUV,Tuvalu,177.64933,-7.109535
UGA,Uganda,32.290275,1.373333
UKR,Ukraine,31.16558,48.379433
ARE,United Arab Emirates,53.847818,23.424076
GBR,United Kingdom,-3.435973,55.378051
USA,United States,-95.712891,37.09024
UMI,United States Minor Outlying Islands,-177.3666667,28.2166667
URY,Uruguay,-55.765835,-32.522779
UZB,Uzbekistan,64.585262,41.377491
VUT,Vanuatu,166.959158,-15.376706
VAT,Vatican City State,-10.8156163,6.3158904
VEN,Venezuela,-66.58973,6.42375
VNM,Vietnam,108.277199,14.058324
WLF,Wallis and Futuna Islands,-178.1193763,-14.2903576
ESH,Western Sahara,-12.885834,24.215527
ESH,Yemen,48.516388,15.552727
YUG,Yugoslavia,-115.5227574,32.6302308
002,Zaire,21.758664,-4.038333
ZMB,Zambia,27.849332,-13.133897
ZWE,Zimbabwe,29.154857,-19.015438
VIR,Virgin Islands (U.S.),-64.7458767,18.3448229
SCG,Serbia and Montenegro,20.28,44.48
ME0,Montenegro,19.37439,42.708678
RS0,Serbia,21.005859,44.016521
TLS,Timor-Leste,125.727539,-8.874217
JEM,Jemen,48.516388,15.552727
